gene_id	expr_jan	expr_gte	expr_tcgan	satisf_jan	satisf_gte	satisf_tcgan	curr_sel	member_code
23869	4.943	4.933	12.143	1	0	1	0	1
23870	2.27	7.579	11.448	1	0	1	0	1
23871	0.897	4.585	8.915	0	0	1	0	1
23872	2.059	1.972	7.792	1	0	1	0	1
23873	4.13	3.392	7.992	1	0	1	0	1
23874	1.106	4.034	8.395	0	0	1	0	1
23875	3.089	2.817	6.857	1	0	1	0	1
23876	4.532	1.744	9.417	1	1	1	1	1
23877	1.97	2.235	7.356	1	0	1	0	1
23878	2.418	4.379	9.582	1	0	1	0	1
23879	4.209	1.961	9.064	1	0	1	0	1
23880	1.53	5.801	10.275	0	0	1	0	1
23881	2.278	4.019	9.462	1	0	1	0	1
23882	5.848	1.189	7.265	1	1	1	1	1
23883	3.147	4.106	9.811	1	0	1	0	1
23884	6.083	4.862	7.045	1	0	1	0	1
23885	2.446	3.97	10.534	1	0	1	0	1
23886	4.064	2.965	10.258	1	0	1	0	1
23887	2.599	5.099	10.18	1	0	1	0	1
23888	5.406	3.647	8.725	1	0	1	0	1
23889	3.415	5.445	10.555	1	0	1	0	1
23890	0.823	3.849	8.909	0	0	1	0	1
23891	9.056	5.867	13.465	1	0	1	0	1
23892	5.607	5.691	9.854	1	0	1	0	1
23893	3.225	2.653	7.222	1	0	1	0	1
23894	5.411	2.284	8.755	1	0	1	0	1
23895	2.458	2.378	9.725	1	0	1	0	1
23896	3.189	3.044	9.515	1	0	1	0	1
23897	2.165	4.479	10.474	1	0	1	0	1
23898	4.15	7.321	11.836	1	0	1	0	1
23899	3.616	5.411	10.132	1	0	1	0	1
23900	4.176	3.642	8.83	1	0	1	0	1
23901	5.522	4.927	9.787	1	0	1	0	1
23902	7.798	1.084	5.102	1	1	0	0	6
23903	6.748	2.768	7.687	1	0	1	0	1
23904	5.079	4.309	11.621	1	0	1	0	1
23905	2.908	5.456	10.921	1	0	1	0	1
23906	2.04	5.003	8.246	1	0	1	0	1
23907	5.071	6.04	8.933	1	0	1	0	1
23908	3.567	5.19	11.016	1	0	1	0	1
23909	3.645	3.388	11.828	1	0	1	0	1
23910	1.858	2.097	9.625	1	0	1	0	1
23911	4.77	4.136	10.801	1	0	1	0	1
23912	2.506	3.262	8.934	1	0	1	0	1
23913	3.624	5.14	10.438	1	0	1	0	1
23914	7.995	6.475	13.247	1	0	1	0	1
23915	4.664	4.154	10.221	1	0	1	0	1
23916	8.193	5.918	12.348	1	0	1	0	1
23917	6.463	0.731	2.094	1	1	0	0	6
23918	1.273	9.394	14.187	0	0	1	0	1
23919	2.14	7.085	11.853	1	0	1	0	1
23920	4.535	6.758	12.328	1	0	1	0	1
23921	2.48	4.944	11.828	1	0	1	0	1
23922	3.104	4.609	9.183	1	0	1	0	1
23923	3.896	4.761	13.17	1	0	1	0	1
23924	7.38	0.551	1.928	1	1	0	0	6
23925	7.606	7.869	12.117	1	0	1	0	1
23926	6.565	5.492	12.344	1	0	1	0	1
23927	1.64	9.041	12.331	1	0	1	0	1
23928	3.973	4.126	9.629	1	0	1	0	1
23929	0.71	2.872	9.478	0	0	1	0	1
23930	1.404	3.397	6.707	0	0	1	0	1
23931	8.46	4.357	11.705	1	0	1	0	1
23932	7.608	3.248	9.951	1	0	1	0	1
23933	6.922	4.163	10.097	1	0	1	0	1
23934	2.327	4.362	10.503	1	0	1	0	1
23935	2.028	0.872	10.861	1	1	1	1	1
23936	5.923	2.5	8.542	1	0	1	0	1
23937	3.636	3.213	8.653	1	0	1	0	1
23938	7.233	3.17	10.149	1	0	1	0	1
23939	4.766	5.454	11.48	1	0	1	0	1
23940	2.293	2.912	9.916	1	0	1	0	1
23941	1.712	6.373	7.211	1	0	1	0	1
23942	3.201	4.891	10.26	1	0	1	0	1
23943	3.353	3.296	8.722	1	0	1	0	1
23944	5.204	5.412	10.008	1	0	1	0	1
23945	3.754	7.391	13.371	1	0	1	0	1
23946	7.311	3.543	10.837	1	0	1	0	1
23947	8.37	6.12	12.128	1	0	1	0	1
23948	3.725	5.861	11.315	1	0	1	0	1
23949	6.702	4.203	10.963	1	0	1	0	1
23950	6.608	6.908	9.843	1	0	1	0	1
23951	6.35	3.977	7.456	1	0	1	0	1
23952	5.156	9.468	14.34	1	0	1	0	1
23953	5.502	3.86	10.893	1	0	1	0	1
23954	5.299	4.386	11.795	1	0	1	0	1
23955	6.134	8.581	14.236	1	0	1	0	1
23956	7.268	3.616	11.439	1	0	1	0	1
23957	4.264	4.656	9.696	1	0	1	0	1
23958	2.708	5.648	12.042	1	0	1	0	1
23959	7.816	5.306	12.598	1	0	1	0	1
23960	5.152	2.524	8.74	1	0	1	0	1
23961	6.87	3.601	10.087	1	0	1	0	1
23962	8.442	4.318	11.735	1	0	1	0	1
23963	5.241	3.148	9.16	1	0	1	0	1
23964	4.719	5.436	12.223	1	0	1	0	1
23965	3.313	5.269	11.208	1	0	1	0	1
23966	7.23	4.624	10.998	1	0	1	0	1
23967	3.229	3.375	9.506	1	0	1	0	1
23968	7.262	3.164	9.434	1	0	1	0	1
23969	2.881	7.109	10.659	1	0	1	0	1
23970	4.301	5.862	11.831	1	0	1	0	1
23971	2.569	2.188	7.455	1	0	1	0	1
23972	4.101	4.59	8.964	1	0	1	0	1
23973	1.876	0.91	1.342	1	1	0	0	1
23974	8.406	1.636	5.892	1	1	0	0	1
23975	5.927	0.658	4.806	1	1	0	0	1
23976	4.477	1.322	6.154	1	1	0	0	1
23977	10.263	3.622	10.742	1	0	1	0	6
23978	1.486	8.574	8.891	0	0	1	0	1
23979	9.084	4.97	11.382	1	0	1	0	1
23980	6.079	4.388	11.283	1	0	1	0	1
23981	6.765	3.427	10.087	1	0	1	0	1
23982	3.488	4.028	9.772	1	0	1	0	1
23983	4.409	4.671	10.71	1	0	1	0	1
23984	1.565	4.558	10.207	0	0	1	0	1
23985	2.36	2.781	9.787	1	0	1	0	1
23986	7.185	3.118	11.204	1	0	1	0	1
23987	4.01	3.19	9.564	1	0	1	0	1
23988	6.214	2.628	9.901	1	0	1	0	1
23989	6.939	3.601	11.139	1	0	1	0	1
23990	8.958	3.321	12.595	1	0	1	0	1
23991	7.053	7.763	12.574	1	0	1	0	1
23992	7.656	4.344	12.055	1	0	1	0	1
23993	6.119	4.514	10.097	1	0	1	0	1
23994	5.567	3.864	11.428	1	0	1	0	1
23995	5.929	5.332	12.434	1	0	1	0	1
23996	4.219	3.84	11.181	1	0	1	0	1
23997	5.726	3.004	10.814	1	0	1	0	1
23998	3.464	5.205	13.9	1	0	1	0	1
23999	4.573	9.419	15.984	1	0	1	0	1
24000	6.846	4.262	10.929	1	0	1	0	1
24001	2.412	5.108	9.423	1	0	1	0	1
24002	2.69	6.474	11.265	1	0	1	0	1
24003	9.022	3.578	10.943	1	0	1	0	1
24004	6.985	6.074	13.746	1	0	1	0	1
24005	6.635	6.891	13.531	1	0	1	0	1
24006	6.773	5.396	12.099	1	0	1	0	1
24007	4.651	4.505	11.334	1	0	1	0	1
24008	8.038	4.646	9.873	1	0	1	0	1
24009	7.457	8.572	15.31	1	0	1	0	1
24010	6.155	6.099	13.264	1	0	1	0	1
24011	4.743	5.259	12.252	1	0	1	0	1
24012	5.535	2.319	9.143	1	0	1	0	6
24013	6.761	5.686	12.157	1	0	1	0	1
24014	5.4	5.971	10.57	1	0	1	0	1
24015	1.549	9.453	15.288	0	0	1	0	1
24016	3.704	3.771	10.608	1	0	1	0	1
24017	1.567	7.727	10.914	0	0	1	0	1
24018	3.616	6.739	12.722	1	0	1	0	1
24019	3.267	5.201	11.792	1	0	1	0	1
24020	1.977	4.193	10.212	1	0	1	0	1
24021	3.902	3.911	11.335	1	0	1	0	1
24022	6.522	5.805	11.936	1	0	1	0	1
24023	1.189	5.439	9.249	0	0	1	0	1
24024	2.244	3.941	10.553	1	0	1	0	1
24025	4.367	4.35	10.396	1	0	1	0	1
24026	4.218	4.586	9.982	1	0	1	0	1
24027	3.671	5.794	11.868	1	0	1	0	1
24028	4.457	3.719	10.724	1	0	1	0	1
24029	6.285	6.573	11.706	1	0	1	0	1
24030	6.271	5.005	11.907	1	0	1	0	1
24031	2.92	5.69	11.455	1	0	1	0	1
24032	6.125	5.04	11.031	1	0	1	0	1
24033	4.933	5.764	8.846	1	0	1	0	1
24034	4.593	1.795	7.27	1	1	1	1	1
24035	6.591	1.881	7.229	1	0	1	0	6
24036	8.463	1.602	8.254	1	1	1	1	1
24037	10.949	5.576	12.105	1	0	1	0	1
24038	6.193	3.576	10.134	1	0	1	0	1
24039	9.755	4.394	11.413	1	0	1	0	1
24040	10.62	5.869	12.4	1	0	1	0	1
24041	8.789	4.752	12.8	1	0	1	0	1
24042	6.796	1.141	2.603	1	1	0	0	6
24043	10.926	1.473	7.748	1	1	1	1	7
24044	12.103	0.095	2.987	1	1	0	0	7
24045	2.185	2.309	8.116	1	0	1	0	1
24046	7.042	3.802	11.322	1	0	1	0	1
24047	2.139	4.254	9.357	1	0	1	0	1
24048	5.863	4.322	10.091	1	0	1	0	1
24049	5.385	6.079	10.923	1	0	1	0	1
24050	7.789	3.605	12.379	1	0	1	0	1
24051	3.262	3.139	9.285	1	0	1	0	1
24052	9.274	5.19	11.441	1	0	1	0	1
24053	5.49	5.505	10.734	1	0	1	0	1
24054	6.583	5.293	12.519	1	0	1	0	1
24055	6.495	0.364	4.377	1	1	0	0	1
24056	3.195	5.7	12.281	1	0	1	0	1
24057	5.46	10.729	14.484	1	0	1	0	1
24058	1.849	4.865	13.717	1	0	1	0	1
24059	1.505	5.299	12.6	0	0	1	0	1
24060	2.539	6.155	13.277	1	0	1	0	1
24061	1.951	6.164	11.717	1	0	1	0	1
24062	2.784	2.29	5.0	1	0	0	0	1
24063	2.076	3.751	9.051	1	0	1	0	1
24064	6.259	1.483	5.601	1	1	0	0	6
24065	5.137	5.798	10.718	1	0	1	0	1
24066	1.564	3.596	7.425	0	0	1	0	1
24067	3.441	5.763	12.793	1	0	1	0	1
24068	4.691	4.371	11.253	1	0	1	0	1
24069	7.156	5.182	12.368	1	0	1	0	1
24070	7.713	4.427	10.944	1	0	1	0	1
24071	7.294	4.195	10.364	1	0	1	0	1
24072	5.367	6.563	12.079	1	0	1	0	1
24073	4.907	8.419	12.387	1	0	1	0	1
24074	5.281	5.692	12.228	1	0	1	0	1
24075	3.173	5.315	10.905	1	0	1	0	1
24076	4.811	5.102	11.798	1	0	1	0	1
24077	5.646	7.137	14.506	1	0	1	0	1
24078	8.671	4.411	12.293	1	0	1	0	1
24079	3.672	5.663	13.612	1	0	1	0	1
24080	3.412	6.314	11.942	1	0	1	0	1
24081	3.145	5.411	12.556	1	0	1	0	1
24082	5.115	3.577	8.859	1	0	1	0	1
24083	3.251	9.061	14.241	1	0	1	0	1
24084	1.73	6.983	10.506	1	0	1	0	1
24085	5.995	6.768	12.832	1	0	1	0	1
24086	1.64	4.697	11.408	1	0	1	0	1
24087	2.122	7.54	13.018	1	0	1	0	1
24088	3.195	4.967	11.463	1	0	1	0	1
24089	4.181	4.761	10.332	1	0	1	0	1
24090	2.862	4.973	11.81	1	0	1	0	1
24091	7.187	6.4	11.969	1	0	1	0	1
24092	7.585	10.388	15.738	1	0	1	0	1
24093	1.601	10.07	15.375	1	0	1	0	1
24094	3.063	8.944	14.157	1	0	1	0	1
24095	2.864	2.949	10.201	1	0	1	0	1
24096	3.056	1.159	8.234	1	1	1	1	1
24097	3.526	1.022	9.285	1	1	1	1	1
24098	1.618	0.622	5.986	1	1	0	0	1
24099	3.518	4.431	10.274	1	0	1	0	1
24100	7.577	3.533	10.175	1	0	1	0	1
24101	5.701	4.029	8.608	1	0	1	0	1
24102	6.091	4.403	10.48	1	0	1	0	1
24103	6.477	4.562	11.345	1	0	1	0	1
