expr_val	ids_jan	ids_gte	ids_tcgan
0.9400000000000001	25157,25558,26245,26546,26852,29392,30577,30621,32050,32613,33762,35435,36591,36725,36745,37042		
0.9500000000000001	24509,25204,25579,26846,27383,27442,27453,30469,32372,32587,33296,34585,35050,35052,35449,35748,36421,36887,37629,37725,38614		
0.96	27745,28394,29036,29088,30077,30443,31192,32330,33756,35165,35362,35481,38178,38416		
0.97	23639,24742,26313,27519,27880,28662,28804,30186,30227,30271,32034,33600,36213,36729,37035		
0.98	26725,26867,27978,28024,29231,29775,30116,30477,30904,31241,32469,34167,38330		
0.99	24595,25029,26346,28929,29806,34727,35134,36792		
1.0	23814,25105,25540,27785,29036,29260,31258,31731,32612,33259,35909,36124,36425,36429,37670,38570		
1.01	25049,25258,27132,29213,31442,34012,35991,37899		
1.02	24097,25152,25655,25900,26068,26754,27135,27138,27591,27827,28054,29265,30348,31024,31463,32527,33795,34259,34480,35403,36074,36157,36246,37164,37184		
1.03	23663,24946,29606,30408,32343,32364,32370,34203,34346,35368,36244,37079,37317,37419,37858		
1.04	24438,24774,25233,25632,25906,26016,26232,26918,27198,27593,27683,27828,29063,30073,31927,32333,33265,33321,34635,35382,36187		
1.05	25146,25702,27835,27948,28822,28825,28903,29150,29406,29640,30978,31261,32638,34991,36524,36877,37864		
1.06	23632,24226,24342,24887,26348,27667,28112,29445,30438,30543,32377,35102,37488		
1.07	24133,25678,26168,26736,27065,27907,28547,30375,31580,33290,35345,36249,36383,36955,37735		
1.08	23684,23902,25334,28833,29071,29899,30269,30712,31794,32277,32340,32606,32648,34702,34840,36084,36122,36127,36428,38610		
1.09	23642,24945,25278,25572,26422,30546,30624,34869,35150,35931,37637		
1.1	23839,23874,25423,28687,30268,30450,30500,31128,31181,31567,32984,33298,33331,33870,33873,34185,34380,35095,35778,38373		
1.11	24508,25315,26778,26786,27076,29044,29276,29291,31340,32607,32611,33289,34421,34428,34644,34793,35165,35216,35798,36873,38558		
1.12	25644,25650,26010,27305,27734,28177,28587,29634,31856,33694,34231,35166,35572,37438		
1.1300000000000001	25216,26175,26415,27336,27458,28522,29499,30222,30606,31251,32645,33749,33999,34426,36401,36524,36668,38474,38526		
1.1400000000000001	23667,24042,25186,26787,26956,27887,28721,30445,30720,30993,31540,32126,32179,32522,33847,34276,34954,35369,35421,36705,37798		
1.1500000000000001	24096,25072,25786,28630,28950,29324,29709,29766,29962,30254,30852,31884,32066,33595,34024,36825,36871,37411,37825,38447,38518,38672		
1.16	23685,25353,25638,25870,26389,26642,26863,27247,28073,28275,28992,30113,30944,32365,32844,33924,33965,34579,36540,36541,36662,36884,37505,37729,38600		
1.17	24332,24594,24746,25250,25257,25309,25752,26643,27554,28390,28543,29098,30287,32599,33523,35570,36659,37025,37077,38404,38648,38652		
1.18	23882,24023,24118,25103,25217,25672,25950,26408,27100,27980,28700,29178,29503,31191,31730,33103,34801,35371,35734,36402,36439,36832,37575,38522		
1.19	23787,24847,25666,26183,27137,27733,28152,28435,29648,31483,31709,31846,32483,33262,35096,35234,37870,38022		
1.2	23783,27604,27608,28170,28546,28943,30338,30479,31095,31350,32337,34256,36751,38003,38559,38632		
1.21	25021,25052,26236,26765,27553,28104,28162,29654,29965,30276,30343,30441,30827,31694,32381,32401,32609,32922,33923,34569,36817,37320,38534		
1.22	23809,23856,24493,25125,25178,25300,26885,27519,29806,30143,31210,31251,34405,37128,37691,37842,38489		
1.23	24604,24882,25402,26288,26355,26729,28621,29412,29607,29652,30144,32779,34043,34332,35793,36123,36394,38602		
1.24	24771,25653,26938,27121,27143,27779,27928,28372,28653,28702,29044,30400,31326,32355,33152,34150,34612,35911,36151,37645,37767,38419,38625		
1.25	23677,24366,24498,27922,28421,28731,29150,29263,29498,29809,29822,30211,31345,35400,35426,36538,38119,38319,38495,38623		
1.26	23705,24185,24185,24270,24569,24615,24885,25347,25555,25598,26783,26797,27018,28227,28582,30020,31984,32565,32836,34739,34972,35236,35953,38431,38518		
1.27	23918,24735,25421,25868,25902,26825,26990,27192,27847,28360,28967,29273,29296,29788,30101,30270,30334,31507,32711,33225,34731,36180,36861,37717,38369,38424		
1.28	24169,24491,24765,25467,25689,26239,26773,26797,27198,27850,28376,29136,29551,30345,31316,31431,32379,32523,32565,33005,33015,33224,33438,33453,34213,34784,35166,35433,36479,37809,38659,38690		
1.29	24323,24331,24897,25233,25244,25281,25364,25484,26060,28035,28311,28442,28828,29067,29289,30755,31604,31690,32412,35115,35391,35598,36746,36756,36779,36835,37065,38182		
1.3	24522,24818,25117,26200,26515,27093,28783,29142,29544,30466,35491,35771,35911,35975,37035,37587,37982,38461		
1.31	23811,23838,25056,25072,25380,25909,25985,26068,26153,26155,27306,27341,27923,30409,30990,31578,31726,33103,33182,35428,35684,35729,35906,36355,36970,37082,37359		
1.32	23976,24462,24656,25380,25739,26150,26287,27960,28625,28764,29136,29320,29563,32373,32439,32446,32449,32498,34465,34795,38551		
1.33	23868,24462,25540,25726,26897,26985,27160,27431,28374,28761,29090,29261,30218,30529,30761,32014,32234,35735,35931,35939,36034,38468,38501		
1.34	23833,23973,24899,24940,25051,25319,25576,25754,27770,28437,30224,31330,33513,33806,34201,35088,35368,35741,37227,38524		
1.35	24182,25325,25415,26015,26154,26513,26836,26967,27613,27631,27742,27839,27906,27969,28622,28631,29633,29992,30330,30488,30669,31089,31250,31290,31449,33614,34068,34427,35762,35892,36649,37225,37521,38069,38213,38579		
1.36	24366,24582,24825,26232,26986,27460,29723,29819,30673,31767,32587,32614,32623,32782,33563,33945,34829,35700,35772,35879,36343,37843,38226		
1.37	24260,24848,25179,25373,25398,25487,25951,26151,26216,28453,28546,28571,28924,29003,29564,30123,30462,30531,30774,31405,32631,33514,34259,34544,34546,34561,34719,34903,35116,35234,36577,37092,37132,38411,38594		
1.3800000000000001	24222,24281,24688,25161,27092,27193,28335,28661,28705,28850,29175,30225,31127,32615,32634,32643,33439,33570,34296,35665,36582,37207,37562,38230,38388		
1.3900000000000001	24369,24527,24919,25753,26496,26880,27245,29347,29606,30483,30715,32366,33462,34956,35366,36047,36729,37412,38119,38445,38454,38456,38687		
1.4000000000000001	23641,23930,24530,24555,25275,28447,28603,28722,28790,28852,29200,29516,29541,30466,30523,30853,31889,32117,32384,33004,33912,34382,35182,35335,35901,35973,36279,37143,37436,38416,38430,38484,38556,38578		
1.41	24338,24523,25596,25805,27784,27911,28089,28159,28420,28576,29516,30388,30443,32323,32346,32501,32681,33706,34836,36160,36585,38294		
1.42	24505,25160,25164,25898,27470,27767,28445,29672,30667,30948,31746,31997,32567,32639,32735,33082,33589,33590,34244,34311,35355,35430,35573,36589		
1.43	24351,24753,24807,25328,25707,25907,26608,27642,28435,28967,29763,29979,30088,30260,30724,31328,32639,32725,33700,34317,35064,35371,35801,36560,37170,37271,37999,38148,38221,38225,38331		
1.44	23664,24705,25214,26609,27118,27140,27741,27853,28723,28874,29094,29433,29666,30226,30427,30769,30911,31228,31494,31728,32636,34591,35316,37315,37482,38393		
1.45	24224,24698,25225,25731,26415,27946,28241,29573,29918,29922,29931,32334,32451,32670,33051,33149,33870,35098,35648,35757,35793,36197,36315,37270,37590,38385,38426,38446		
