interval	nofgenes_jan	nofgenes_gte	nofgenes_tcgan
11.05	15026	15013	9815
11.06	15027	15013	9842
11.07	15027	15013	9863
11.08	15027	15014	9886
11.09	15027	15016	9918
11.10	15027	15016	9947
11.11	15028	15016	9985
11.12	15028	15016	10021
11.13	15029	15016	10047
11.14	15030	15016	10086
11.15	15031	15016	10116
11.16	15032	15017	10140
11.17	15032	15017	10167
11.18	15032	15017	10198
11.19	15032	15018	10233
11.20	15032	15019	10269
11.21	15032	15020	10294
11.22	15033	15021	10319
11.23	15033	15021	10352
11.24	15034	15021	10392
11.25	15035	15021	10418
11.26	15035	15022	10456
11.27	15035	15022	10490
11.28	15035	15022	10529
11.29	15035	15022	10550
11.30	15036	15022	10581
11.31	15038	15024	10607
11.32	15038	15024	10630
11.33	15038	15024	10668
11.34	15039	15024	10695
11.35	15039	15024	10730
11.36	15040	15024	10767
11.37	15040	15024	10805
11.38	15040	15024	10833
11.39	15040	15024	10865
11.40	15040	15024	10896
11.41	15041	15024	10929
11.42	15042	15025	10964
11.43	15042	15025	10997
11.44	15042	15025	11019
11.45	15042	15025	11049
11.46	15042	15025	11076
11.47	15042	15026	11105
11.48	15042	15026	11128
11.49	15042	15026	11150
11.50	15042	15027	11177
11.51	15042	15027	11199
11.52	15043	15027	11233
11.53	15043	15028	11267
11.54	15044	15029	11299
11.55	15044	15029	11327
11.56	15044	15029	11358
11.57	15044	15030	11376
11.58	15045	15030	11409
11.59	15046	15030	11438
11.60	15047	15030	11470
11.61	15047	15030	11497
11.62	15048	15030	11529
11.63	15049	15031	11560
11.64	15049	15031	11584
11.65	15051	15031	11600
11.66	15052	15031	11635
11.67	15053	15032	11664
11.68	15053	15033	11686
11.69	15053	15033	11715
11.70	15053	15034	11734
11.71	15053	15035	11763
11.72	15053	15035	11788
11.73	15053	15035	11808
11.74	15053	15036	11834
11.75	15053	15036	11859
11.76	15053	15036	11884
11.77	15053	15037	11907
11.78	15054	15037	11928
11.79	15055	15037	11956
11.80	15055	15037	11983
11.81	15055	15038	12016
11.82	15055	15038	12039
11.83	15055	15038	12063
11.84	15056	15038	12083
11.85	15056	15039	12105
11.86	15056	15039	12133
11.87	15056	15039	12152
11.88	15056	15039	12173
11.89	15057	15039	12194
11.90	15057	15039	12225
11.91	15057	15039	12249
11.92	15057	15040	12270
11.93	15058	15040	12300
11.94	15058	15041	12323
11.95	15058	15041	12346
11.96	15058	15043	12367
11.97	15058	15043	12388
11.98	15058	15043	12408
11.99	15058	15043	12439
12.00	15058	15043	12467
12.01	15058	15043	12491
12.02	15058	15043	12513
12.03	15058	15043	12526
12.04	15058	15043	12554
12.05	15058	15043	12576
12.06	15059	15043	12596
12.07	15059	15043	12617
12.08	15059	15043	12640
12.09	15059	15043	12658
12.10	15059	15044	12675
12.11	15060	15044	12698
12.12	15060	15045	12718
12.13	15060	15045	12743
12.14	15060	15045	12758
12.15	15060	15045	12783
12.16	15060	15045	12801
12.17	15060	15045	12824
12.18	15060	15045	12841
12.19	15060	15045	12864
12.20	15060	15045	12877
12.21	15060	15045	12903
12.22	15060	15045	12920
12.23	15060	15045	12939
12.24	15060	15045	12957
12.25	15060	15045	12982
12.26	15060	15045	12999
12.27	15060	15045	13018
12.28	15060	15045	13035
12.29	15060	15045	13048
12.30	15060	15045	13058
12.31	15060	15045	13070
12.32	15060	15045	13086
12.33	15060	15045	13112
12.34	15060	15045	13123
12.35	15060	15045	13145
12.36	15060	15045	13157
12.37	15060	15045	13174
12.38	15060	15046	13191
12.39	15060	15046	13209
12.40	15060	15047	13225
12.41	15060	15047	13248
12.42	15060	15047	13262
12.43	15060	15048	13278
12.44	15060	15048	13295
12.45	15060	15048	13312
12.46	15060	15049	13321
12.47	15060	15049	13341
12.48	15060	15049	13352
12.49	15060	15050	13371
12.50	15060	15050	13389
12.51	15060	15050	13407
12.52	15060	15050	13415
12.53	15060	15050	13428
12.54	15060	15050	13435
12.55	15060	15050	13455
12.56	15060	15050	13473
12.57	15060	15050	13491
12.58	15060	15050	13503
12.59	15060	15050	13530
12.60	15060	15050	13545
12.61	15060	15050	13564
12.62	15060	15050	13579
12.63	15060	15050	13592
12.64	15060	15050	13608
12.65	15060	15051	13624
12.66	15060	15051	13639
12.67	15060	15051	13650
12.68	15060	15051	13661
12.69	15060	15051	13672
12.70	15060	15052	13683
12.71	15060	15052	13694
12.72	15060	15052	13705
12.73	15060	15052	13717
12.74	15060	15052	13726
12.75	15061	15052	13737
12.76	15061	15052	13747
12.77	15061	15052	13761
12.78	15061	15052	13768
12.79	15061	15052	13776
12.80	15061	15052	13790
12.81	15061	15052	13801
12.82	15061	15052	13815
12.83	15061	15052	13823
12.84	15061	15052	13832
12.85	15061	15052	13837
12.86	15061	15052	13848
12.87	15061	15052	13852
12.88	15061	15052	13859
12.89	15061	15052	13865
12.90	15061	15052	13875
12.91	15061	15052	13888
12.92	15061	15052	13906
12.93	15061	15052	13915
12.94	15061	15052	13926
12.95	15061	15052	13938
12.96	15061	15052	13947
12.97	15061	15052	13961
12.98	15061	15053	13969
12.99	15061	15053	13977
13.00	15064	15064	15064
