interval	nofgenes_jan	nofgenes_gte	nofgenes_tcgan
9.24	14668	14849	4601
9.25	14672	14851	4622
9.26	14676	14852	4639
9.27	14682	14852	4657
9.28	14689	14852	4671
9.29	14692	14854	4697
9.30	14700	14854	4717
9.31	14707	14856	4738
9.32	14709	14857	4759
9.33	14711	14857	4778
9.34	14713	14862	4802
9.35	14713	14862	4822
9.36	14720	14865	4848
9.37	14723	14869	4875
9.38	14728	14870	4892
9.39	14735	14870	4912
9.40	14739	14871	4937
9.41	14743	14875	4960
9.42	14746	14878	4981
9.43	14748	14878	5001
9.44	14752	14878	5018
9.45	14755	14878	5042
9.46	14758	14881	5066
9.47	14763	14884	5080
9.48	14766	14885	5106
9.49	14769	14885	5125
9.50	14770	14887	5142
9.51	14772	14890	5171
9.52	14775	14892	5196
9.53	14778	14893	5215
9.54	14780	14899	5237
9.55	14782	14900	5252
9.56	14785	14902	5280
9.57	14789	14902	5305
9.58	14794	14903	5329
9.59	14797	14903	5355
9.60	14800	14904	5388
9.61	14802	14904	5421
9.62	14808	14904	5443
9.63	14811	14907	5477
9.64	14813	14908	5497
9.65	14820	14910	5524
9.66	14821	14913	5553
9.67	14821	14914	5576
9.68	14824	14914	5602
9.69	14827	14915	5625
9.70	14829	14916	5656
9.71	14831	14917	5685
9.72	14833	14919	5705
9.73	14834	14920	5738
9.74	14834	14920	5773
9.75	14835	14921	5803
9.76	14838	14925	5830
9.77	14843	14927	5859
9.78	14845	14927	5885
9.79	14847	14927	5920
9.80	14853	14928	5952
9.81	14856	14931	5975
9.82	14857	14934	6003
9.83	14860	14935	6021
9.84	14862	14936	6052
9.85	14866	14937	6079
9.86	14870	14938	6099
9.87	14872	14941	6119
9.88	14873	14942	6142
9.89	14873	14943	6167
9.90	14875	14944	6187
9.91	14877	14944	6223
9.92	14879	14946	6248
9.93	14880	14948	6268
9.94	14883	14950	6285
9.95	14886	14950	6312
9.96	14889	14951	6346
9.97	14894	14952	6371
9.98	14898	14952	6397
9.99	14900	14952	6427
10.00	14902	14954	6451
10.01	14904	14955	6478
10.02	14912	14956	6512
10.03	14914	14957	6541
10.04	14915	14959	6574
10.05	14916	14960	6606
10.06	14918	14961	6634
10.07	14919	14961	6656
10.08	14920	14963	6675
10.09	14920	14963	6710
10.10	14920	14963	6747
10.11	14922	14964	6775
10.12	14924	14964	6811
10.13	14924	14964	6843
10.14	14926	14964	6873
10.15	14930	14965	6900
10.16	14931	14965	6940
10.17	14936	14968	6965
10.18	14938	14969	6988
10.19	14939	14969	7015
10.20	14939	14969	7053
10.21	14940	14970	7089
10.22	14941	14971	7121
10.23	14942	14972	7147
10.24	14946	14972	7188
10.25	14947	14972	7220
10.26	14950	14972	7249
10.27	14952	14974	7276
10.28	14953	14974	7302
10.29	14953	14974	7334
10.30	14955	14975	7376
10.31	14955	14975	7399
10.32	14956	14976	7437
10.33	14958	14976	7471
10.34	14958	14976	7506
10.35	14958	14977	7549
10.36	14959	14978	7578
10.37	14959	14978	7613
10.38	14960	14979	7649
10.39	14961	14980	7683
10.40	14965	14983	7713
10.41	14968	14984	7743
10.42	14969	14984	7775
10.43	14972	14984	7805
10.44	14974	14986	7834
10.45	14976	14986	7864
10.46	14977	14986	7897
10.47	14978	14986	7937
10.48	14978	14986	7975
10.49	14979	14986	8007
10.50	14979	14988	8044
10.51	14979	14988	8076
10.52	14981	14989	8117
10.53	14983	14989	8152
10.54	14985	14990	8181
10.55	14985	14990	8210
10.56	14985	14990	8239
10.57	14989	14990	8265
10.58	14991	14991	8301
10.59	14992	14991	8342
10.60	14992	14991	8380
10.61	14993	14992	8413
10.62	14994	14992	8445
10.63	14996	14995	8476
10.64	14997	14995	8514
10.65	14997	14996	8554
10.66	14997	14997	8592
10.67	14997	14997	8632
10.68	14999	14998	8657
10.69	15000	14998	8681
10.70	15001	14998	8713
10.71	15002	15000	8744
10.72	15002	15000	8779
10.73	15003	15002	8808
10.74	15005	15002	8840
10.75	15007	15003	8877
10.76	15008	15003	8903
10.77	15008	15003	8933
10.78	15009	15003	8969
10.79	15009	15004	8997
10.80	15009	15005	9026
10.81	15010	15006	9058
10.82	15011	15006	9092
10.83	15012	15006	9124
10.84	15013	15007	9159
10.85	15013	15007	9185
10.86	15014	15007	9211
10.87	15014	15007	9244
10.88	15014	15007	9266
10.89	15015	15007	9300
10.90	15015	15009	9327
10.91	15017	15010	9356
10.92	15017	15010	9389
10.93	15018	15010	9427
10.94	15020	15010	9456
10.95	15022	15010	9490
10.96	15022	15011	9520
10.97	15025	15011	9563
10.98	15025	15012	9583
10.99	15025	15012	9613
11.00	15025	15012	9654
11.01	15025	15012	9690
11.02	15025	15013	9715
11.03	15025	15013	9751
11.04	15025	15013	9778
